COUNTY,HD_CODE,HD_NAME,CD_CODE,CD_NAME,PARTY,SYSDATE,COUNT(V.ID)
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Democrat,02/08/2019,4346
COOS,SR01,House District 01,4th Cong,"US Representative, 4th District",Other,02/08/2019,98
JOSEPHINE,SR01,House District 01,4th Cong,"US Representative, 4th District",Other,02/08/2019,43
CURRY,SR01,House District 01,4th Cong,"US Representative, 4th District",Other,02/08/2019,71
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,01/10/2019,537
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,01/10/2019,146
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Republican,01/10/2019,5683
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,01/10/2019,46
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,01/10/2019,142
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,01/10/2019,5
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Other,01/10/2019,68
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,01/10/2019,22
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,01/10/2019,9
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Republican,01/10/2019,1108
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,01/10/2019,72
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Other,01/10/2019,43
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,01/10/2019,3021
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,01/10/2019,62
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,01/10/2019,6
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,01/10/2019,11
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,01/10/2019,46
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,01/10/2019,43
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,01/10/2019,4343
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,01/10/2019,124
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,01/10/2019,29
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,01/10/2019,6146
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,01/10/2019,4665
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,01/10/2019,2325
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,01/10/2019,28
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,01/10/2019,29
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,01/10/2019,680
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,01/10/2019,5
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,01/10/2019,5942
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,01/10/2019,903
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,01/10/2019,29
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,01/10/2019,20
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,01/10/2019,5125
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,01/10/2019,985
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Other,01/10/2019,135
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,01/10/2019,6075
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Other,01/10/2019,70
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,01/10/2019,10
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,01/10/2019,1138
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,12/07/2018,529
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,12/07/2018,148
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Republican,12/07/2018,5695
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,12/07/2018,46
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,12/07/2018,143
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,12/07/2018,5
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Other,12/07/2018,67
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,12/07/2018,22
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,12/07/2018,10
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Republican,12/07/2018,1107
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,12/07/2018,71
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Other,12/07/2018,44
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,12/07/2018,2994
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,12/07/2018,62
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,12/07/2018,6
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,12/07/2018,11
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,12/07/2018,44
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,12/07/2018,43
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,12/07/2018,4351
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,12/07/2018,125
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,12/07/2018,29
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,12/07/2018,6139
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,12/07/2018,1
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,12/07/2018,4677
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,12/07/2018,2330
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,12/07/2018,28
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,12/07/2018,28
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,12/07/2018,676
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,10/03/2018,27
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,10/03/2018,5820
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,10/03/2018,6067
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,10/03/2018,861
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,10/03/2018,61
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,10/03/2018,10
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,09/05/2018,5
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,09/05/2018,46
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,09/05/2018,10
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Republican,09/05/2018,1099
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,09/05/2018,117
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,09/05/2018,29
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,09/05/2018,4293
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Republican,09/05/2018,5587
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,09/05/2018,963
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,09/05/2018,43
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,09/05/2018,2954
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,09/05/2018,69
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,09/05/2018,5
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,09/05/2018,46
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,09/05/2018,10
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Other,09/05/2018,154
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,09/05/2018,2349
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,09/05/2018,29
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,09/05/2018,5762
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Other,09/05/2018,43
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Other,09/05/2018,75
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,09/05/2018,6006
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,09/05/2018,7
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Other,09/05/2018,66
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,09/05/2018,847
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,09/05/2018,528
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,09/05/2018,23
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,09/05/2018,142
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,09/05/2018,5065
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,09/05/2018,671
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,09/05/2018,1112
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,09/05/2018,5983
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,09/05/2018,27
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,09/05/2018,61
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,09/05/2018,6
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,09/05/2018,4675
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,09/05/2018,1
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,09/05/2018,144
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,09/05/2018,21
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,09/05/2018,25
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,08/02/2018,965
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,08/02/2018,2365
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,08/02/2018,62
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,08/02/2018,5879
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,08/02/2018,26
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,08/02/2018,29
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,08/02/2018,4264
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,08/02/2018,10
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,08/02/2018,2920
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,08/02/2018,45
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,08/02/2018,145
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Republican,08/02/2018,1102
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,08/02/2018,22
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,08/02/2018,45
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,08/02/2018,5056
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,08/02/2018,6007
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,08/02/2018,5
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,08/02/2018,115
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,08/02/2018,10
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Other,08/02/2018,85
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Republican,08/02/2018,5551
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,08/02/2018,44
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,08/02/2018,511
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,08/02/2018,670
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,08/02/2018,22
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,08/02/2018,5
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,08/02/2018,26
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Other,08/02/2018,155
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,08/02/2018,4660
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,08/02/2018,7
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,08/02/2018,145
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,08/02/2018,1086
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,08/02/2018,69
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,08/02/2018,30
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,08/02/2018,853
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Other,08/02/2018,43
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,08/02/2018,6
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,08/02/2018,5679
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Other,08/02/2018,75
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,07/03/2018,21
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,07/03/2018,22
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,07/03/2018,7
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,07/03/2018,5
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,07/03/2018,669
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,07/03/2018,45
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,07/03/2018,4275
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Other,07/03/2018,86
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,07/03/2018,148
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,07/03/2018,30
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,07/03/2018,5611
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,07/03/2018,29
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Other,07/03/2018,74
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Republican,07/03/2018,1101
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,07/03/2018,70
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,07/03/2018,5
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,07/03/2018,845
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,07/03/2018,1067
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,07/03/2018,5822
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,07/03/2018,113
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,07/03/2018,5036
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Republican,07/03/2018,5550
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,07/03/2018,2371
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,07/03/2018,60
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,07/03/2018,6013
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,07/03/2018,145
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,07/03/2018,28
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Other,07/03/2018,43
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,07/03/2018,4684
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,07/03/2018,46
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,07/03/2018,2883
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,07/03/2018,10
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,07/03/2018,969
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Other,07/03/2018,153
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,07/03/2018,510
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,07/03/2018,48
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,07/03/2018,26
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,07/03/2018,6
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,07/03/2018,9
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,06/19/2018,142
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Other,06/19/2018,74
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Constitution,06/19/2018,21
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,06/19/2018,115
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,06/19/2018,60
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,06/19/2018,29
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,06/19/2018,145
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Other,06/19/2018,152
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,06/19/2018,668
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,06/19/2018,4267
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,06/19/2018,6
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,06/19/2018,45
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Democrat,06/19/2018,4681
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,06/19/2018,5
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,06/19/2018,843
COOS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,06/19/2018,6008
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Libertarian,06/19/2018,26
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,06/19/2018,2858
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,06/19/2018,9
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Republican,06/19/2018,5538
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,06/19/2018,5541
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Pacific Green,06/19/2018,46
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Other,06/19/2018,86
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Republican,06/19/2018,5052
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,06/19/2018,7
CURRY,SR01,House District 01,4th Cong,US Congressional District 4,Independent Party,06/19/2018,967
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Progressive,06/19/2018,5
DOUGLAS,SR01,House District 01,4th Cong,US Congressional District 4,Working Families Party of Oregon,06/19/2018,25
JOSEPHINE,SR01,House District 01,4th Cong,US Congressional District 4,Nonaffiliated,06/19/2018,1062
